01:15:18.572498 nspr-6   Saving settings file "/home/birkhoff/VirtualBox VMs/Windows 10/Windows 10.vbox" with version "1.15-linux"
01:15:22.920132 nspr-7   ERROR [COM]: aRC=VBOX_E_IPRT_ERROR (0x80bb0005) aIID={5047460a-265d-4538-b23e-ddba5fb84976} aComponent={SessionMachine} aText={Saved screenshot data is not available (VERR_NOT_SUPPORTED)}, preserve=false aResultDetail=-37
01:15:39.971853 main     Saving settings file "/home/birkhoff/VirtualBox VMs/Windows 10/Windows 10.vbox" with version "1.15-linux"
01:15:40.023668 Watcher  Reaper: Pid 1874 (752) was signalled: 11 (0xb)
01:15:49.206110 nspr-6   Saving settings file "/home/birkhoff/.config/VirtualBox/VirtualBox.xml" with version "1.14-linux"
01:15:57.259131 nspr-6   Saving settings file "/home/birkhoff/.config/VirtualBox/VirtualBox.xml" with version "1.14-linux"
01:16:00.502626 nspr-6   Saving settings file "/home/birkhoff/.config/VirtualBox/VirtualBox.xml" with version "1.14-linux"
01:16:03.746534 nspr-3   Saving settings file "/home/birkhoff/.config/VirtualBox/VirtualBox.xml" with version "1.14-linux"
01:16:06.823957 nspr-6   Saving settings file "/home/birkhoff/.config/VirtualBox/VirtualBox.xml" with version "1.14-linux"
01:16:13.913878 main     VirtualBox: object deletion starts
01:16:13.913988 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Medium '/home/birkhoff/Birkhoff/OS/Debian.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
01:16:13.938112 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Medium '/home/birkhoff/Birkhoff/OS/Metasploitable.vmdk' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
01:16:13.938282 main     ERROR [COM]: aRC=VBOX_E_OBJECT_IN_USE (0x80bb000c) aIID={ad47ad09-787b-44ab-b343-a082a3f2dfb1} aComponent={MediumWrap} aText={Medium '/home/birkhoff/VirtualBox VMs/Kali/Kali.vdi' cannot be closed because it is still attached to 1 virtual machines}, preserve=false aResultDetail=0
01:16:13.973892 main     HostDnsMonitor: shutting down ...
01:16:13.974500 main     HostDnsMonitor: shut down
01:16:14.032520 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={d0a0163f-e254-4e5b-a1f2-011cf991c38d} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
01:16:18.990628 main     {00007fb72001a500} HostPowerServiceLinux::~HostPowerServiceLinux: RTThreadWait() for 5000 ms failed with VERR_TIMEOUT
01:16:19.053345 main     VirtualBox: object deleted
